province,population,area,density
Busan,3459840,770,4493
Chungcheongbuk-do,1640721,7433,220
Chungcheongnam-do,2194384,8204,267
Daegu,2468222,884,2792
Daejeon,1493979,540,2766
Gangwon-do,1560571,20569,75
Gwangju,1480293,501,2954
Gyeonggi-do,13653984,10171,1342
Gyeongsangbuk-do,2723955,19030,143
Gyeongsangnam-do,3438676,10532,326
Incheon,3029285,1063,2849
Jeju,696657,1849,376
Jeollabuk-do,1851991,8043,230
Jeollanam-do,1903383,11858,160
Sejong,346275,465,744
Seoul,10010983,605,16547
Ulsan,1168469,1057,1105
